tensor,proj,stoc_len,halve,scramble,mse,rel_fro
L0.v_proj,v_proj,96,full,bitrev,2.7432790375314653e-05,0.15049295127391815
L0.v_proj,v_proj,96,halve,off,8.340950444107875e-05,0.26241520047187805
L0.v_proj,v_proj,96,halve,counter,3.125680814264342e-05,0.1606399267911911
L0.v_proj,v_proj,96,halve,bitrev,2.712370769586414e-05,0.14964276552200317
L0.v_proj,v_proj,64,full,off,0.00022959265334066004,0.43537166714668274
L0.v_proj,v_proj,64,full,counter,6.413509981939569e-05,0.23010659217834473
L0.v_proj,v_proj,64,full,bitrev,5.163408786756918e-05,0.206466406583786
L0.v_proj,v_proj,64,halve,off,0.0002269540127599612,0.43286263942718506
L0.v_proj,v_proj,64,halve,counter,6.372453208314255e-05,0.2293688952922821
L0.v_proj,v_proj,64,halve,bitrev,5.131859506946057e-05,0.20583468675613403
L0.v_proj,v_proj,48,full,off,0.0004256185202393681,0.5927771329879761
L0.v_proj,v_proj,48,full,counter,0.00011024094419553876,0.3016842305660248
L0.v_proj,v_proj,48,full,bitrev,8.488240564474836e-05,0.26472198963165283
L0.v_proj,v_proj,48,halve,off,0.0004224692820571363,0.5905799865722656
L0.v_proj,v_proj,48,halve,counter,0.00010956904588965699,0.30076348781585693
L0.v_proj,v_proj,48,halve,bitrev,8.406850975006819e-05,0.2634497880935669
L0.v_proj,v_proj,32,full,off,0.001094594830647111,0.950622022151947
L0.v_proj,v_proj,32,full,counter,0.00021376990480348468,0.42010173201560974
L0.v_proj,v_proj,32,full,bitrev,0.0001611802726984024,0.3647851347923279
L0.v_proj,v_proj,32,halve,off,0.0010859143221750855,0.9468451142311096
L0.v_proj,v_proj,32,halve,counter,0.00021294142061378807,0.4192868769168854
L0.v_proj,v_proj,32,halve,bitrev,0.0001602008123882115,0.3636750876903534
L0.v_proj,v_proj,16,full,off,0.004967085085809231,2.0250325202941895
L0.v_proj,v_proj,16,full,counter,0.0006559444591403008,0.7358930706977844
L0.v_proj,v_proj,16,full,bitrev,0.00045873096678406,0.6154038906097412
L0.v_proj,v_proj,16,halve,off,0.004950807895511389,2.021711587905884
L0.v_proj,v_proj,16,halve,counter,0.0006522090989165008,0.7337947487831116
L0.v_proj,v_proj,16,halve,bitrev,0.00045252518611960113,0.6112270355224609
L15.down_proj,down_proj,256,full,off,7.974800610099919e-06,0.040119901299476624
L15.down_proj,down_proj,256,full,counter,7.974800610099919e-06,0.040119901299476624
L15.down_proj,down_proj,256,full,bitrev,7.974800610099919e-06,0.040119901299476624
